rank,title,title_length,detected_language,content_type,is_short,has_hashtags,views,likes
631,Ariana Grande - no tears left to cry (Official Video),53,English,Music Video,0,0,1.30B,8.91M
632,"$100,000,000 Car Doors",22,English,Other,0,0,1.29B,29.8M
633,Mukbang Big Bottle Candy drink 보틀 캔디 젤리 먹방 DONA 도나,50,Korean,Other,0,0,1.29B,1.85M
634,"KAROL G, Anuel AA - Culpables (Official Video)",46,English,Music Video,0,0,1.29B,5.11M
635,MC Kevinho - Olha a Explosão (KondZilla) | Official Music Video,63,English,Music Video,0,0,1.29B,9.00M
636,Monkey Banana-Baby Monkey | Animal Songs | PINKFONG Songs for Children,70,English,Kids/Educational,0,0,1.28B,3.09M
637,Aayat Arif | Hasbi Rabbi | Tere Sadqay Main Aqa | Ramzan Special Nasheed 2020 | Official Video,94,English,Music Video,0,0,1.28B,4.88M
638,Marshmello & Anne-Marie - FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*,76,English,Music Video,0,0,1.28B,10.7M
639,Alan Walker - The Spectre,25,English,Other,0,0,1.28B,11.0M
640,Michael Jackson - They Don't Care About Us,42,English,Other,0,0,1.28B,11.0M
641,Necesito buscarme otro hobby 🍬🥵,31,English,Other,0,0,1.28B,13.0M
642,ZAYN - PILLOWTALK (Official Video),34,English,Music Video,0,0,1.28B,9.24M
643,"SIMMBA: Aankh Marey Lyrical | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi, Mika Singh,Neha,Kumar S",100,English,Other,0,0,1.28B,3.67M
644,If You’re Happy And You Know It | Kids Songs | Super Simple Songs,65,English,Kids/Educational,0,0,1.27B,2.23M
645,Mariana - Galinha Pintadinha 1 - OFICIAL,40,English,Ad/Promo,0,0,1.27B,2.39M
646,Sam Smith - Stay With Me (Official Music Video),47,English,Music Video,0,0,1.27B,5.78M
647,Michael Jackson - Beat It (Official 4K Video),45,English,Other,0,0,1.27B,9.07M
648,"Dil Laga Liya Maine Tumse Pyaar Karke | Dil Hai Tumhaara | Preity Zinta | Alka Yagnik, Udit Narayan",99,English,Other,0,0,1.27B,4.45M
649,The Verve - Bitter Sweet Symphony,33,English,Other,0,0,1.27B,5.87M
650,Chuva Chove no Chuveiro | BOLOFOFOS [ Hora do banho ],53,English,Other,0,0,1.26B,1.77M
651,Romeo Santos - La Diabla/Mi Santa (Official Video) ft. Tomatito,63,English,Music Video,0,0,1.26B,2.15M
652,Jinu Tries to Save Baby Rumi From the Claw Machine! But...🤣🤣🤣,61,English,Kids/Educational,0,0,1.26B,6.10M
653,Belly Button Song Dance! Learn about the Body! CoComelon #Shorts,64,English,Short,1,1,1.26B,12.5M
654,KAROL G - Si Antes Te Hubiera Conocido | Coke Studio,52,English,Other,0,0,1.26B,3.35M
655,Om-Nom-nom + MORE D Billions Kids Songs,39,English,Kids/Educational,0,0,1.26B,1.40M
656,Tove Lo - Habits (Stay High) - Hippie Sabotage Remix,52,English,Music Video,0,0,1.26B,6.28M
657,Michel Teló - Ai Se Eu Te Pego - Video Oficial (Assim você me mata),67,English,Music Video,0,0,1.26B,5.77M
658,"Lyrical: Tum Hi Aana | Marjaavaan | Riteish D, Sidharth M, Tara S |Jubin Nautiyal,Payal Dev,Kunaal V",100,English,Other,0,0,1.26B,6.37M
659,"David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)",57,English,Music Video,0,0,1.26B,4.51M
660,Imagine Dragons - Demons (Official Music Video),47,English,Music Video,0,0,1.26B,8.90M
661,Nelly Furtado - Say It Right (Official Music Video),51,English,Music Video,0,0,1.25B,5.73M
662,Myntra - It's You 2.0,21,English,Other,0,0,1.25B,164
663,"DJ Snake, Lil Jon - Turn Down for What",38,English,Other,0,0,1.25B,11.0M
664,Mascha und der Bär - Folge 2: Das Mascha Speziale,49,English,Other,0,0,1.25B,2.16M
665,Bruno Mars - Grenade (Official Music Video),43,English,Music Video,0,0,1.25B,6.13M
666,Learn colors with Balloons ! Kids and daddy have fun playtime with color song !,79,English,Kids/Educational,0,0,1.25B,0
667,Sharing is Caring: Maddie's and Andrea Playroom Adventure,57,English,Ad/Promo,0,0,1.25B,14.4M
668,Lewis Capaldi - Someone You Loved,33,English,Other,0,0,1.25B,11.0M
669,Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],76,English,Music Video,0,0,1.25B,5.87M
670,I Don't Want To Talk About It (from One Night Only! Rod Stewart Live at Royal Albert Hall),90,English,Other,0,0,1.25B,4.56M
671,어떤게 제일 좋을까?,11,Korean,Other,0,0,1.25B,10.6M
672,Don Omar - Taboo,16,English,Other,0,0,1.25B,3.56M
673,No Doubt - Don't Speak (Official 4K Music Video),48,English,Music Video,0,0,1.25B,4.54M
674,Khalid - Better (Official Video),32,English,Music Video,0,0,1.24B,4.99M
675,"Bella, Wolfine - Video Oficial",30,English,Music Video,0,0,1.24B,5.11M
676,Hoobastank - The Reason (Official Music Video),46,English,Music Video,0,0,1.24B,6.40M
677,Official Video: Humnava Mere Song | Jubin Nautiyal | Manoj Muntashir | Rocky - Shiv | Bhushan Kumar,99,English,Music Video,0,0,1.24B,8.31M
678,Sia - Cheap Thrills (Performance Edit),38,English,Other,0,0,1.24B,7.42M
679,GIANT Lightning McQueen Egg Surprise with 100+ Disney Cars Toys,63,English,Kids/Educational,0,0,1.24B,1.59M
680,Ricardo Arjona - Historia De Taxi (Video),41,English,Other,0,0,1.24B,2.75M
681,Like father like son #parents #toddlermom #toddlers #moms #dads #momlife #shorts #family,88,English,Short,1,1,1.24B,15.4M
682,Bruno Mars - Locked Out Of Heaven (Official Music Video),56,English,Music Video,0,0,1.24B,7.56M
683,"Full Song: KHAIRIYAT (BONUS TRACK) | CHHICHHORE | Sushant, Shraddha | Pritam, Amitabh B|Arijit Singh",100,English,Ad/Promo,0,0,1.24B,8.34M
684,Rihanna - Umbrella (Orange Version) (Official Music Video) ft. JAŸ-Z,68,English,Music Video,0,0,1.24B,6.08M
685,"Jhoome Jo Pathaan Song | Shah Rukh Khan, Deepika | Vishal & Sheykhar, Arijit Singh, Sukriti, Kumaar",99,English,Other,0,0,1.24B,7.20M
686,Ariana Grande - Break Free (Official Video) ft. Zedd,52,English,Music Video,0,0,1.23B,6.47M
687,How Zach King Gets Away With Doing Graffiti,43,English,Other,0,0,1.23B,30.4M
688,Toto - Africa (Official HD Video),33,English,Other,0,0,1.23B,5.51M
689,BAD BUNNY - AMORFODA (Video Oficial),36,English,Music Video,0,0,1.23B,9.23M
690,'Abhi Toh Party Shuru Hui Hai' Full Video Song | Khoobsurat | Badshah | Sonam Kapoor | Aastha,93,English,Ad/Promo,0,0,1.23B,4.47M
691,Miley Cyrus - Wrecking Ball (Official Video),44,English,Music Video,0,0,1.23B,7.36M
692,"Cali Y El Dandee - Por Fin Te Encontré ft. Juan Magán, Sebastián Yatra",70,English,Music Video,0,0,1.23B,2.87M
693,DJ Snake ft. Justin Bieber - Let Me Love You [Lyric Video],58,English,Music Video,0,0,1.23B,6.92M
694,Dynoro & Gigi D’Agostino - In My Mind,37,English,Other,0,0,1.23B,10.1M
695,Biper y sus amigos - El Patito Juan - Video Oficial,51,English,Music Video,0,0,1.23B,3.20M
696,First Day of School | CoComelon Nursery Rhymes & Kids Songs,59,English,Kids/Educational,0,0,1.22B,2.99M
697,Blub 💦,6,English,Other,0,0,1.22B,16.0M
698,Lakdi Ki Kathi | लकड़ी की काठी | Old Hindi Songs for Kids,57,Hindi,Kids/Educational,0,0,1.22B,4.69M
699,Saad Lamjarred - LM3ALLEM (Exclusive Music Video) | (سعد لمجرد - لمعلم (فيديو كليب حصري,87,Arabic,Music Video,0,0,1.22B,8.44M
700,Foster The People - Pumped Up Kicks (Official Video),52,English,Music Video,0,0,1.22B,9.83M
701,This is SO cool!,16,English,Other,0,0,1.22B,16.2M
702,Are We There Yet? | CoComelon Nursery Rhymes & Kids Songs,57,English,Kids/Educational,0,0,1.22B,2.55M
703,蛙哥啥都敢咬,6,Chinese,Other,0,0,1.22B,18.1M
704,Maroon 5 - One More Night (Official Music Video),48,English,Music Video,0,0,1.22B,5.01M
705,Música Cinco Macaquinhos | Chanson Cinq petits singes | Comptines Et Chansons | À Bébé Chanson,94,English,Other,0,0,1.22B,2.63M
706,Let's test the spoons! Which one is the best? #kids #fun,56,English,Kids/Educational,0,1,1.22B,7.36M
707,ديانا تريد أن تشتري سيارة جديدة جميلة,37,Arabic,Other,0,0,1.22B,4.76M
708,"Phir Bhi Tumko Chaahunga - Full Song | Arijit Singh | Arjun K & Shraddha K | Mithoon, Manoj M",93,English,Ad/Promo,0,0,1.22B,6.65M
709,Maroon 5 - Memories (Official Video),36,English,Music Video,0,0,1.21B,10.3M
710,"Maluma - Cuatro Babys (Official Video) ft. Trap Capos, Noriel, Bryant Myers, Juhn",81,English,Kids/Educational,0,0,1.21B,4.63M
711,"Usher - Yeah! (Official Video) ft. Lil Jon, Ludacris",52,English,Music Video,0,0,1.21B,7.19M
712,Grupo Frontera x Grupo Firme - EL AMOR DE SU VIDA (Video Oficial),65,English,Music Video,0,0,1.21B,2.59M
713,Iggy Azalea - Fancy ft. Charli XCX,34,English,Music Video,0,0,1.21B,6.21M
714,Justin Bieber - Beauty And A Beat (Official Music Video) ft. Nicki Minaj,72,English,Music Video,0,0,1.21B,7.56M
715,TV9 Marathi News LIVE | Disha Salian Case Update | Prashant Koratkar | Kunal Kamra | PM Modi LIVE,97,English,Other,0,0,1.21B,0
716,Rihanna - Stay ft. Mikky Ekko,29,English,Music Video,0,0,1.21B,5.34M
717,Car Wash Song | @CoComelon Nursery Rhymes & Kids Songs,54,English,Kids/Educational,0,0,1.21B,2.55M
718,Step Up: High Water | YouTube Originals,39,English,Other,0,0,1.21B,4
719,Scorpions - Wind Of Change (Official Music Video),49,English,Music Video,0,0,1.20B,5.86M
720,J Balvin BONITA feat. Jowell & Randy,36,English,Music Video,0,0,1.20B,4.05M
721,Travesuras - Nicky Jam | Video Oficial,38,English,Music Video,0,0,1.20B,2.99M
722,Cuidado con la Bomba Chita - Las Canciones del Zoo | El Reino Infantil,70,English,Ad/Promo,0,0,1.20B,1.32M
723,Daru Badnaam | Kamal Kahlon & Param Singh | Official Video | Pratik Studio | Latest Punjabi Songs,97,English,Music Video,0,0,1.20B,6.54M
724,"ARY NEWS LIVE | Latest Pakistan News 𝟐𝟒/𝟕 | Headlines, Bulletins, Breaking News",79,English,Ad/Promo,0,0,1.20B,1.22M
725,ABC Song + More Nursery Rhymes & Kids Songs - CoComelon,55,English,Kids/Educational,0,0,1.20B,3.45M
726,Yiyo Sarante - Corazòn de Acero (Video Oficial),48,English,Music Video,0,0,1.20B,2.33M
727,Five Little Ducks + More | Nursery Rhymes for for Babies by LittleBabyBum,73,English,Kids/Educational,0,0,1.20B,1.50M
728,Lil Pump - Gucci Gang [Official Music Video],44,English,Music Video,0,0,1.20B,12.4M
729,Maluma - Hawái (Official Video),31,English,Music Video,0,0,1.20B,6.23M
730,Vlad and Niki - new Funny stories about Toys for children,57,English,Kids/Educational,0,0,1.20B,4.61M
731,Stromae - papaoutai (Official Video),36,English,Music Video,0,0,1.20B,7.82M
732,Miley Cyrus - Flowers (Official Video),38,English,Music Video,0,0,1.20B,9.09M
733,LISA - 'MONEY' EXCLUSIVE PERFORMANCE VIDEO,42,English,Other,0,0,1.20B,15.4M
734,ABC Song | Wendy Pretend Play Learning Alphabet w/ Toys & Nursery Rhyme Songs,77,English,Kids/Educational,0,0,1.20B,2.59M
735,Johny Johny Yes Papa - S1EP35 Fun and Play MIX - LooLoo Kids Songs for Kids,75,English,Kids/Educational,0,0,1.19B,3.60M
